metric,value,unit
ellipsoid_maximum_coordinate_difference_m,0.00012106560519669569,m
ellipsoid_median_coordinate_difference_m,0.00010259153633877907,m
ellipsoid_maximum_chord_distance_difference_m,0.00022502243518829346,m
ellipsoid_median_chord_distance_difference_m,4.020938649773598e-05,m
ellipsoid_axial_ordering_agreement,1.0,proportion
ellipsoid_signed_longitude_agreement,1.0,proportion
