key,authors,year,title,container,volume,issue,pages,doi,url,verification_source,verified_utc,cited_for
kotsakis2012,"Kotsakis C",2012,"Reference frame stability and nonlinear distortion in minimum-constrained network adjustment","Journal of Geodesy",86,9,"755-774",10.1007/s00190-012-0555-6,https://doi.org/10.1007/s00190-012-0555-6,Crossref and publisher metadata,2026-09-25T03:43:00Z,reference-frame stability and distortion under minimum constraints
kotsakis2013,"Kotsakis C",2013,"Generalized inner constraints for geodetic network densification problems","Journal of Geodesy",87,7,"661-673",10.1007/s00190-013-0637-0,https://doi.org/10.1007/s00190-013-0637-0,Crossref and publisher metadata,2026-09-25T03:43:00Z,inner constraints and datum transfer in network densification
kotsakis2017,"Kotsakis C; Chatzinikos M",2017,"Rank defect analysis and the realization of proper singularity in normal equations of geodetic networks","Journal of Geodesy",91,6,"627-652",10.1007/s00190-016-0989-3,https://doi.org/10.1007/s00190-016-0989-3,Crossref and publisher metadata,2026-09-25T03:43:00Z,rank-defect diagnosis and proper datum singularity
liberti2014,"Liberti L; Lavor C; Maculan N; Mucherino A",2014,"Euclidean distance geometry and applications","SIAM Review",56,1,"3-69",10.1137/120875909,https://doi.org/10.1137/120875909,Crossref DOI metadata,2026-09-25T03:43:00Z,distance-geometry identifiability
moritz2000,"Moritz H",2000,"Geodetic Reference System 1980","Journal of Geodesy",74,1,"128-133",10.1007/s001900050278,https://doi.org/10.1007/s001900050278,Crossref DOI metadata,2026-09-25T03:43:00Z,ellipsoidal reference system
papo1985,"Papo HB",1985,"Extended free net adjustment constraints","Bulletin Géodésique",59,4,"378-390",10.1007/BF02521070,https://doi.org/10.1007/BF02521070,Crossref DOI metadata,2026-09-25T03:43:00Z,free-network and extended inner constraints
sillard2001,"Sillard P; Boucher C",2001,"A review of algebraic constraints in terrestrial reference frame datum definition","Journal of Geodesy",75,2-3,"63-73",10.1007/S001900100166,https://doi.org/10.1007/S001900100166,Crossref and publisher metadata,2026-09-25T03:43:00Z,datum defect and algebraic constraints in terrestrial reference frames
zajdel2019,"Zajdel R; Sośnica K; Drożdżewski M; Bury G; Strugarek D",2019,"Impact of network constraining on the terrestrial reference frame realization based on SLR observations to LAGEOS","Journal of Geodesy",93,11,"2293-2313",10.1007/s00190-019-01307-0,https://doi.org/10.1007/s00190-019-01307-0,Crossref and publisher metadata,2026-09-25T03:43:00Z,empirical effects of datum station selection and minimum constraints
torsvik2008,"Torsvik TH; Müller RD; Van der Voo R; Steinberger B; Gaina C",2008,"Global plate motion frames: toward a unified model","Reviews of Geophysics",46,3,,10.1029/2007RG000227,https://doi.org/10.1029/2007RG000227,Crossref DOI metadata,2026-09-25T03:43:00Z,plate-motion reference frames
torsvik2012,"Torsvik TH; Van der Voo R; Preeden U; Mac Niocaill C; Steinberger B; Doubrovine PV; van Hinsbergen DJJ; Domeier M; Gaina C; Tohver E; Meert JG; McCausland PJA; Cocks LRM",2012,"Phanerozoic polar wander, palaeogeography and dynamics","Earth-Science Reviews",114,3-4,"325-368",10.1016/j.earscirev.2012.06.007,https://doi.org/10.1016/j.earscirev.2012.06.007,Crossref DOI metadata,2026-09-25T03:43:00Z,paleogeographic model dependence
torsvik2019,"Torsvik TH; Cocks LRM",2019,"The integration of palaeomagnetism, the geological record and mantle tomography in the location of ancient continents","Geological Magazine",156,2,"242-260",10.1017/S001675681700098X,https://doi.org/10.1017/S001675681700098X,Crossref and Cambridge metadata; issue-year convention (online 2017),2026-09-25T03:43:00Z,paleolatitude and model-dependent paleolongitude constraints
asimow1978,"Asimow L; Roth B",1978,"The rigidity of graphs","Transactions of the American Mathematical Society",245,,"279-289",10.1090/S0002-9947-1978-0511410-9,https://doi.org/10.1090/S0002-9947-1978-0511410-9,Crossref DOI metadata,2026-09-25T03:43:00Z,generic local rigidity and rigidity-matrix rank
asimow1979,"Asimow L; Roth B",1979,"The rigidity of graphs, II","Journal of Mathematical Analysis and Applications",68,,"171-190",10.1016/0022-247X(79)90108-2,https://doi.org/10.1016/0022-247X(79)90108-2,Crossref DOI metadata,2026-09-25T03:43:00Z,generic local rigidity in Euclidean frameworks
