key,authors,year,title,container,volume,issue,pages,doi,url,verification_source,verified_utc,cited_for
altamimi2023,"Altamimi Z; Rebischung P; Collilieux X; Métivier L; Chanard K",2023,"ITRF2020: an augmented reference frame refining the modeling of nonlinear station motions","Journal of Geodesy",97,,"47",10.1007/s00190-023-01738-w,https://doi.org/10.1007/s00190-023-01738-w,Crossref and publisher DOI resolution,2026-09-25T03:43:00Z,ITRF2020 realization
altamimi2002,"Altamimi Z; Sillard P; Boucher C",2002,"ITRF2000: A new release of the International Terrestrial Reference Frame for earth science applications","Journal of Geophysical Research: Solid Earth",107,B10,"ETG 2-1-ETG 2-19",10.1029/2001JB000561,https://doi.org/10.1029/2001JB000561,Crossref DOI metadata,2026-09-25T03:43:00Z,ITRF datum realization and frame combination
altamimi2003,"Altamimi Z; Sillard P; Boucher C",2003,"The impact of a No-Net-Rotation Condition on ITRF2000","Geophysical Research Letters",30,2,"1064",10.1029/2002GL016279,https://doi.org/10.1029/2002GL016279,Crossref DOI metadata,2026-09-25T03:43:00Z,no-net-rotation constraints and plate-motion frame interpretation
bevis2014,"Bevis M; Brown A",2014,"Trajectory models and reference frames for crustal motion geodesy","Journal of Geodesy",88,3,"283-311",10.1007/s00190-013-0685-5,https://doi.org/10.1007/s00190-013-0685-5,Crossref and publisher metadata,2026-09-25T03:43:00Z,time-dependent station trajectories and reference-frame realization
chatzinikos2017,"Chatzinikos M; Dermanis A",2017,"A coordinate-invariant model for deforming geodetic networks: understanding rank deficiencies, non-estimability of parameters, and the effect of the choice of minimal constraints","Journal of Geodesy",91,4,"375-396",10.1007/s00190-016-0970-1,https://doi.org/10.1007/s00190-016-0970-1,Crossref and publisher metadata; issue-year convention,2026-09-25T03:43:00Z,coordinate invariance rank deficiency and effects of minimal constraints
dokmanic2015,"Dokmanić I; Parhizkar R; Ranieri J; Vetterli M",2015,"Euclidean distance matrices: essential theory, algorithms, and applications","IEEE Signal Processing Magazine",32,6,"12-30",10.1109/MSP.2015.2398954,https://doi.org/10.1109/MSP.2015.2398954,Crossref DOI metadata,2026-09-25T03:43:00Z,Euclidean distance matrix theory
glaser2015,"Glaser S; Fritsche M; Sośnica K; Rodríguez-Solano CJ; Wang K; Dach R; Hugentobler U; Rothacher M; Dietrich R",2015,"A consistent combination of GNSS and SLR with minimum constraints","Journal of Geodesy",89,12,"1165-1180",10.1007/s00190-015-0842-0,https://doi.org/10.1007/s00190-015-0842-0,Crossref and publisher metadata,2026-09-25T03:43:00Z,minimum constraints in multi-technique terrestrial frame combination
iers2010,"Petit G; Luzum B (eds)",2010,"IERS Conventions (2010)","IERS Technical Note",36,,,,"https://iers-conventions.obspm.fr/content/tn36.pdf",Official IERS publication,2026-09-25T03:43:00Z,reference-system and Earth-orientation terminology
iso19111,"International Organization for Standardization",2019,"ISO 19111:2019 Geographic information—Referencing by coordinates","International Standard",,,,,https://www.iso.org/standard/74039.html,Official ISO catalogue,2026-09-25T03:43:00Z,coordinate reference system metadata
kabsch1976,"Kabsch W",1976,"A solution for the best rotation to relate two sets of vectors","Acta Crystallographica Section A",32,5,"922-923",10.1107/S0567739476001873,https://doi.org/10.1107/S0567739476001873,Crossref DOI metadata,2026-09-25T03:43:00Z,proper orthogonal alignment
kabsch1978,"Kabsch W",1978,"A discussion of the solution for the best rotation to relate two sets of vectors","Acta Crystallographica Section A",34,5,"827-828",10.1107/S0567739478001680,https://doi.org/10.1107/S0567739478001680,Crossref DOI metadata,2026-09-25T03:43:00Z,proper orthogonal alignment
