domes,site_name,technique_id,x_m,y_m,z_m,sigma_x_m,sigma_y_m,sigma_z_m,vx_m_per_year,vy_m_per_year,vz_m_per_year,latitude_degrees,longitude_degrees,maximum_coordinate_sigma_m,longitude_bin,reference_epoch,comparison_epoch,x_comparison_epoch_m,y_comparison_epoch_m,z_comparison_epoch_m
40445M004,MAUI,7119,-5466065.6231,-2404337.7154,2242108.5531,0.0007,0.0009,0.0007,-0.01287,0.06217,0.03194,20.579588011218565,-156.25692679418262,0.0009,1.0,2015.0,2025.0,-5466065.751800001,-2404337.0937,2242108.8725
40497M001,Monument Peak,7110,-2386278.7676,-4802353.6724,3444881.8466,0.0021,0.0018,0.0017,-0.03077,0.02541,0.01392,32.716542819713,-116.4226784499638,0.0021,2.0,2015.0,2025.0,-2386279.0752999997,-4802353.4183,3444881.9858
40442M006,FORT DAVIS,7080,-1330021.294,-5328401.8389,3236480.6968,0.001,0.0009,0.0009,-0.01258,0.00081,-0.00485,30.5117098111711,-104.01519959418388,0.001,3.0,2015.0,2025.0,-1330021.4198,-5328401.8308,3236480.6483
40451M105,Washington,7105,1130719.3629,-4831350.5753,3994106.5851,0.0007,0.0006,0.0007,-0.01504,0.00017,0.00228,38.83248993117698,-76.8276968652703,0.0007,4.0,2015.0,2025.0,1130719.2125000001,-4831350.5736,3994106.6078999997
48081S001,Campus Universi,7407,4119502.0946,-4553595.2476,-1722855.0836,0.0033,0.0033,0.0031,-0.00281,-0.00317,0.01202,-15.672698118831361,-47.86529338063169,0.0033,5.0,2015.0,2025.0,4119502.0664999997,-4553595.2793000005,-1722854.9634
13402S007,SAN FERNANDO,7824,5105473.8207,-555110.3979,3769893.061,0.0022,0.0024,0.0019,-0.00945,0.01775,0.01344,36.28149367442857,-6.20530671391078,0.0024,7.0,2015.0,2025.0,5105473.7262,-555110.2204,3769893.1954
14001S007,Zimmerwald,7810,4331283.4215,567550.0711,4633140.4768,0.0006,0.0006,0.0006,-0.01372,0.01809,0.01171,46.68520770658857,7.465224516900016,0.0006,8.0,2015.0,2025.0,4331283.2843,567550.252,4633140.593900001
30302M003,Hartebeesthoek,7501,5085401.0913,2668330.4288,-2768688.574,0.0008,0.001,0.0008,-0.00069,0.01975,0.01561,-25.738878389355694,27.686177286269704,0.001,9.0,2015.0,2025.0,5085401.0844,2668330.6262999997,-2768688.4179000002
25603S001,Baikonur Cosmod,1887,2001873.2104,3987633.4451,4542477.7273,0.0017,0.002,0.0014,-0.02594,0.0077,0.0031,45.51259179864986,63.34241682566955,0.002,10.0,2015.0,2025.0,2001872.951,3987633.5221,4542477.758300001
12372S001,Altay,1879,543405.6777,3955302.3139,4957821.0315,0.0019,0.002,0.0023,-0.02615,0.00379,0.00012,51.15604735269942,82.17729836577405,0.0023,11.0,2015.0,2025.0,543405.4162,3955302.3518,4957821.032699999
12338S004,Badary,1890,-838300.1073,3865738.8634,4987640.8901,0.0018,0.0017,0.0017,-0.02769,-0.00112,-0.00638,51.58283480322939,102.23536268348586,0.0018,12.0,2015.0,2025.0,-838300.3842000001,3865738.8522,4987640.826300001
50107M001,Yarragadee,7090,-2389007.7701,5043329.4858,-3078523.9709,0.0007,0.0006,0.0007,-0.04682,0.00797,0.05096,-28.883434983501672,115.346753302934,0.0007,13.0,2015.0,2025.0,-2389008.2383,5043329.5655,-3078523.4613
50119S003,Mount Stromlo,7825,-4467064.9663,2683034.8906,-3667007.0948,0.0006,0.0007,0.0007,-0.03645,0.00034,0.04552,-35.13482884193121,149.0098822886652,0.0007,14.0,2015.0,2025.0,-4467065.330800001,2683034.894,-3667006.6396
12734S008,Matera,7941,4641978.5239,1393067.8197,4133249.6959,0.0006,0.0007,0.0006,-0.01863,0.01906,0.01462,40.458577942210404,16.7046145471105,0.0007,,2015.0,2025.0,4641978.3376,1393068.0103000002,4133249.8421
13212S001,Herstmonceux Ca,7840,4033463.4763,23662.7873,4924305.3508,0.0006,0.0007,0.0007,-0.01316,0.01708,0.00981,50.67885528360768,0.3361285649584317,0.0007,,2015.0,2025.0,4033463.3447000002,23662.9581,4924305.4489
10002S002,Grasse (OCA),7845,4581691.9389,556196.3678,4389355.2869,0.0007,0.0007,0.0007,-0.01388,0.01886,0.01117,43.56246101585594,6.921576461282378,0.0007,,2015.0,2025.0,4581691.800100001,556196.5564,4389355.3986
