metric,value,source,unit
synthetic_number_of_points,24.0,synthetic_benchmark,proportion_or_m
synthetic_frame_trials,250.0,synthetic_benchmark,proportion_or_m
synthetic_monte_carlo_trials_per_condition,4000.0,synthetic_benchmark,proportion_or_m
distance_reconstruction_rmse_allow_reflection_m,2.9701702222673244e-09,synthetic_benchmark,proportion_or_m
distance_reconstruction_rmse_proper_only_m,6136173.251345326,synthetic_benchmark,proportion_or_m
proper_rotation_north_south_accuracy,1.0,synthetic_benchmark,proportion_or_m
proper_rotation_east_west_accuracy,1.0,synthetic_benchmark,proportion_or_m
reflection_north_south_accuracy,1.0,synthetic_benchmark,proportion_or_m
reflection_east_west_accuracy,0.0,synthetic_benchmark,proportion_or_m
n_selected_sites,16.0,itrf2020_demonstration,count
maximum_coordinate_standard_uncertainty_m,0.02,itrf2020_demonstration,m
distance_reconstruction_rmse_m,3.6132759390917642e-09,itrf2020_demonstration,m
axial_reflection_north_south_accuracy,1.0,itrf2020_demonstration,proportion
axial_reflection_east_west_accuracy,0.0,itrf2020_demonstration,proportion
maximum_pairwise_distance_change_m,0.6906252605840564,itrf2020_demonstration,m
median_pairwise_distance_change_m,0.09072410129010677,itrf2020_demonstration,m
reference_epoch,2015.0,itrf2020_demonstration,decimal_year
comparison_epoch,2025.0,itrf2020_demonstration,decimal_year
random_seed,20260924.0,configuration,integer
ellipsoid_maximum_coordinate_difference_m,0.00012106560519669569,ellipsoid_sensitivity,m
ellipsoid_median_coordinate_difference_m,0.00010259153633877907,ellipsoid_sensitivity,m
ellipsoid_maximum_chord_distance_difference_m,0.00022502243518829346,ellipsoid_sensitivity,m
ellipsoid_median_chord_distance_difference_m,4.020938649773598e-05,ellipsoid_sensitivity,m
ellipsoid_axial_ordering_agreement,1.0,ellipsoid_sensitivity,proportion
ellipsoid_signed_longitude_agreement,1.0,ellipsoid_sensitivity,proportion
rigidity_largest_network_n_points,16.0,rigidity_phase_diagram,count
rigidity_trials_per_cell,2000.0,rigidity_phase_diagram,count
rigidity_95pct_threshold_edge_probability,0.6,rigidity_phase_diagram,probability
rigidity_probability_at_95pct_threshold,0.996,rigidity_phase_diagram,proportion
rigidity_95pct_threshold_95ci_lower,0.9921265357039621,rigidity_phase_diagram,proportion
rigidity_95pct_threshold_95ci_upper,0.9979717533930348,rigidity_phase_diagram,proportion
rigidity_edge_probability_before_95pct_threshold,0.5,rigidity_phase_diagram,probability
rigidity_probability_before_95pct_threshold,0.9465,rigidity_phase_diagram,proportion
rigidity_probability_before_95pct_threshold_95ci_lower,0.935754264314357,rigidity_phase_diagram,proportion
rigidity_probability_before_95pct_threshold_95ci_upper,0.955533812463484,rigidity_phase_diagram,proportion
north_south_accuracy_at_0.1_chirality_corruption,1.0,uncertainty_benchmark,proportion
east_west_accuracy_at_0.1_chirality_corruption,0.895,uncertainty_benchmark,proportion
east_west_accuracy_at_0.1_chirality_corruption_95ci_lower,0.8851180041126476,uncertainty_benchmark,proportion
east_west_accuracy_at_0.1_chirality_corruption_95ci_upper,0.9041240356884883,uncertainty_benchmark,proportion
north_south_accuracy_at_0.4_chirality_corruption,1.0,uncertainty_benchmark,proportion
east_west_accuracy_at_0.4_chirality_corruption,0.60225,uncertainty_benchmark,proportion
east_west_accuracy_at_0.4_chirality_corruption_95ci_lower,0.5869914415518415,uncertainty_benchmark,proportion
east_west_accuracy_at_0.4_chirality_corruption_95ci_upper,0.6173123522954146,uncertainty_benchmark,proportion
