n_points,edge_probability,trials,mean_edge_count,full_local_rigidity_probability,full_local_rigidity_95ci_lower,full_local_rigidity_95ci_upper,mean_excess_nullity,median_excess_nullity
6,0.1,2000,1.4425,0.0,1.0842021724855044e-19,0.001917047281252934,10.5575,11.0
6,0.2,2000,3.0205,0.0,1.0842021724855044e-19,0.001917047281252934,8.9795,9.0
6,0.3,2000,4.4755,0.0,1.0842021724855044e-19,0.001917047281252934,7.5245,8.0
6,0.4,2000,6.03,0.0035,0.0016964316970424177,0.007207196253241745,5.971,6.0
6,0.5,2000,7.502,0.0185,0.013451349814109871,0.025394766717736703,4.508,5.0
6,0.6,2000,8.949,0.084,0.0726261614635203,0.09696882187448214,3.0915,3.0
6,0.7,2000,10.5235,0.282,0.2627118076260212,0.3021240249886049,1.6835,1.0
6,0.8,2000,12.022,0.62,0.5985165014191288,0.6410234072333704,0.6205,0.0
6,0.9,2000,13.462,0.9245,0.9120900214010068,0.9352824054572093,0.091,0.0
6,1.0,2000,15.0,1.0,0.9980829527187469,0.9999999999999998,0.0,0.0
8,0.1,2000,2.789,0.0,1.0842021724855044e-19,0.001917047281252934,15.211,15.0
8,0.2,2000,5.616,0.0,1.0842021724855044e-19,0.001917047281252934,12.384,13.0
8,0.3,2000,8.3235,0.0005,8.826773070546787e-05,0.0028268625032662133,9.678,10.0
8,0.4,2000,11.247,0.006,0.003435594376936234,0.010458448336941664,6.764,7.0
8,0.5,2000,14.0,0.0655,0.05546852874487852,0.07719738534253028,4.1015,4.0
8,0.6,2000,16.791,0.319,0.29893674711467677,0.3397572240011367,1.8465,1.0
8,0.7,2000,19.591,0.7165,0.696347234985025,0.7358226835421924,0.469,0.0
8,0.8,2000,22.4065,0.948,0.9373820458455553,0.956900279790442,0.0625,0.0
8,0.9,2000,25.213,0.9995,0.9971731374967338,0.9999117322692944,0.0005,0.0
8,1.0,2000,28.0,1.0,0.9980829527187469,0.9999999999999998,0.0,0.0
10,0.1,2000,4.537,0.0,1.0842021724855044e-19,0.001917047281252934,19.463,20.0
10,0.2,2000,8.9915,0.0,1.0842021724855044e-19,0.001917047281252934,15.0085,15.0
10,0.3,2000,13.584,0.0005,8.826773070546787e-05,0.0028268625032662133,10.426,10.5
10,0.4,2000,18.0015,0.03,0.02337785471293825,0.03842416973143951,6.088,6.0
10,0.5,2000,22.5665,0.28,0.26075821548818134,0.3000852853155699,2.3785,2.0
10,0.6,2000,26.9895,0.726,0.7060338412002534,0.7450996534286203,0.4915,0.0
10,0.7,2000,31.537,0.9525,0.9422790928066445,0.9609859794038216,0.061,0.0
10,0.8,2000,36.0755,0.998,0.994868648214923,0.9992219726929489,0.002,0.0
10,0.9,2000,40.5095,1.0,0.9980829527187469,0.9999999999999998,0.0,0.0
10,1.0,2000,45.0,1.0,0.9980829527187469,0.9999999999999998,0.0,0.0
12,0.1,2000,6.7725,0.0,1.0842021724855044e-19,0.001917047281252934,23.2275,23.0
12,0.2,2000,13.206,0.0,1.0842021724855044e-19,0.001917047281252934,16.7945,17.0
12,0.3,2000,19.879,0.0025,0.0010683087284139143,0.005839153316432755,10.1375,10.0
12,0.4,2000,26.308,0.123,0.10932424977571716,0.13812120387434756,4.28,4.0
12,0.5,2000,33.065,0.612,0.5904484568414643,0.6331221245675349,0.8035,0.0
12,0.6,2000,39.42,0.9215,0.9088882444698968,0.9324956846720068,0.1,0.0
12,0.7,2000,46.187,0.9945,0.9901779372483848,0.9969261029904561,0.0065,0.0
12,0.8,2000,52.749,0.9995,0.9971731374967338,0.9999117322692944,0.0005,0.0
12,0.9,2000,59.3315,1.0,0.9980829527187469,0.9999999999999998,0.0,0.0
12,1.0,2000,66.0,1.0,0.9980829527187469,0.9999999999999998,0.0,0.0
16,0.1,2000,11.999,0.0,1.0842021724855044e-19,0.001917047281252934,30.001,30.0
16,0.2,2000,23.8815,0.0,1.0842021724855044e-19,0.001917047281252934,18.122,18.0
16,0.3,2000,35.968,0.0595,0.04995260683841223,0.07073631181637158,6.5255,6.0
16,0.4,2000,47.993,0.608,0.5864167046182744,0.6291692131689748,0.7875,0.0
16,0.5,2000,60.101,0.9465,0.935754264314357,0.955533812463484,0.066,0.0
16,0.6,2000,71.7225,0.996,0.9921265357039621,0.9979717533930348,0.005,0.0
16,0.7,2000,84.148,1.0,0.9980829527187469,0.9999999999999998,0.0,0.0
16,0.8,2000,95.8715,1.0,0.9980829527187469,0.9999999999999998,0.0,0.0
16,0.9,2000,108.02,1.0,0.9980829527187469,0.9999999999999998,0.0,0.0
16,1.0,2000,120.0,1.0,0.9980829527187469,0.9999999999999998,0.0,0.0
